depth,age,d18Og.rub,d18Osmow,mgca,SST,,lat,lon,depth,species,clean_method,,omega,omega_inv_sq,,s_annual,pH,Age
1,1000,-2.07,0.13,3,25.8,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,33.50183323,8.062823253,1
4,1900,-2.27,-0.18,2.86,25.2,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,33.4706576,8.063337455,1.9
9,3200,-2.3,0,3.12,26.2,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,33.51543315,8.065692653,3.2
14,4600,-2.11,0.11,3.02,25.8,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,33.57318646,8.074929061,4.6
19,6000,-2.41,-0.16,3.06,26,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,33.55718743,8.078410987,6
24,7200,-2.1,0.18,3.1,26.1,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,33.61323835,8.084391874,7.2
29,8400,-2.1,0.34,3.33,26.9,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,33.69484852,8.088232846,8.4
34,9500,-1.78,0.41,2.99,25.7,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,33.75225879,8.085472685,9.5
39,10700,-1.81,0.27,2.85,25.2,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,33.85650068,8.078322648,10.7
44,11900,-1.01,1.09,2.88,25.3,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,34.24874636,8.094805247,11.9
49,13100,-1.12,0.91,2.78,24.9,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,34.2809383,8.116159332,13.1
54,14300,-1.22,0.77,2.75,24.8,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,34.30557497,8.117504287,14.3
59,15500,-0.72,1.17,2.63,24.3,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,34.35084269,8.138721627,15.5
64,16600,-0.51,1.37,2.61,24.2,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,34.38832076,8.158517033,16.6
69,17800,-0.69,0.9,2.31,22.8,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,34.41461294,8.188564765,17.8
74,19000,-0.37,1.26,2.36,23.1,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,34.48434901,8.181529608,19
79,20100,-0.71,1.03,2.47,23.6,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,34.56712677,8.181926148,20.1
84,21300,-0.78,0.8,2.3,22.8,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,34.65575741,8.18772513,21.3
89,22400,-0.79,0.93,2.45,23.5,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,34.65964158,8.190209362,22.4
94,23500,-0.95,0.75,2.42,23.4,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,34.6607133,8.189105715,23.5
99,24600,-0.81,0.91,2.44,23.5,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,34.62555123,8.197348081,24.6
104,25800,-1.04,0.45,2.22,22.4,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,34.58788353,8.190205804,25.8
109,26900,-0.77,0.92,2.41,23.3,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,34.58266131,8.189189095,26.9
114,28000,-1.23,0.34,2.29,22.7,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,34.60498623,8.186003271,28
119,29100,-0.93,0.6,2.25,22.6,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,34.60617087,8.181764853,29.1
124,30200,-1.05,0.6,2.36,23.1,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,34.53463014,8.18785207,30.2
129,31300,-0.86,1.08,2.68,24.5,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,34.43655861,8.187482909,31.3
134,32300,-0.66,1.24,2.63,24.3,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,34.39198121,8.181465593,32.3
139,33400,-1.14,0.6,2.47,23.6,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,34.39165736,8.175538787,33.4
144,34500,-0.94,0.9,2.58,24.1,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,34.44632762,8.173005587,34.5
149,35600,-1.15,0.6,2.47,23.6,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,34.32462721,8.168749438,35.6
154,36700,-1.14,0.72,2.6,24.2,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,34.27196828,8.166058763,36.7
159,37800,-0.78,0.7,2.21,22.3,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,34.39668355,8.153880856,37.8
164,38900,-1.07,0.7,2.49,23.7,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,34.39157426,8.163272897,38.9
169,40000,-0.86,0.99,2.58,24.1,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,34.38165184,8.179525065,40
174,41000,-0.95,0.91,2.6,24.1,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,34.35867281,8.169661345,41
179,42100,-1.06,0.66,2.44,23.5,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,34.38979091,8.170767336,42.1
184,43200,-1.21,0.52,2.46,23.5,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,34.35945476,8.167217154,43.2
189,44300,-0.96,0.89,2.58,24.1,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,34.33373359,8.164658474,44.3
194,45400,-1.2,0.66,2.6,24.2,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,34.31382696,8.151366787,45.4
199,46500,-0.89,1,2.62,24.3,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,34.34873335,8.147306253,46.5
204,47600,-1.27,0.65,2.66,24.4,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,34.40479492,8.165622902,47.6
209,48700,-1.13,0.9,2.79,24.9,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,34.36942193,8.169518661,48.7
214,49700,-1.01,0.92,2.67,24.5,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,34.32908878,8.16587169,49.7
220,51000,-0.99,0.72,2.44,23.5,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,34.27847527,8.160668218,51
224,51900,-1.18,0.59,2.49,23.7,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,34.24363707,8.15097619,51.9
229,53000,-1.38,0.49,2.61,24.2,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,34.24032604,8.139515667,53
234,56000,-1.11,0.86,2.72,24.6,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,34.2734576,8.157986787,56
239,59000,-1.21,0.68,2.63,24.3,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,34.20925056,8.129486482,59
244,60300,-0.83,1,2.56,24,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,34.23529984,8.151900783,60.3
249,61500,-0.88,0.91,2.52,23.8,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,34.37504683,8.156187438,61.5
254,62800,-1.15,0.65,2.53,23.8,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,34.53469406,8.168001946,62.8
259,64000,-0.86,1.06,2.67,24.4,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,34.55413835,8.173484546,64
264,65400,-1.1,0.74,2.56,24,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,34.53796887,8.162787182,65.4
269,66800,-1,0.48,2.21,22.3,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,34.50118325,8.162453714,66.8
274,68200,-1.24,0.46,2.42,23.3,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,34.51200907,8.170537094,68.2
279,69600,-0.89,0.77,2.37,23.1,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,34.39519423,8.155504582,69.6
284,71000,-1.47,0.36,2.56,24,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,34.30342514,8.133450969,71
289,73300,-1.47,0.33,2.53,23.9,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,34.22427588,8.127879435,73.3
294,75500,-1.92,0.07,2.74,24.8,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,34.21867867,8.103148504,75.5
299,77800,-1.71,0.3,2.77,24.9,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,34.11211863,8.135630442,77.8
304,80000,-1.86,0.22,2.85,25.2,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,34.05345767,8.1244659,80
309,81700,-1.63,0.49,2.9,25.4,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,34.01513799,8.123878128,81.7
314,83300,-1.35,0.52,2.6,24.2,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,33.93661087,8.10618334,83.3
319,85000,-1.17,0.63,2.53,23.8,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,33.87145782,8.118546353,85
324,86500,-1.51,0.28,2.52,23.8,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,34.14704633,8.138739498,86.5
329,88000,-1.46,0.39,2.59,24.1,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,34.28868107,8.144508051,88
334,89500,-1.51,0.48,2.75,24.8,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,34.13005442,8.13197762,89.5
339,91000,-1.4,0.65,2.82,25.1,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,34.07419951,8.127503802,91
344,94000,-1.84,0.27,2.88,25.3,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,34.05500239,8.116688825,94
349,97000,-1.77,0.46,3.04,25.9,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,33.95840952,8.11069451,97
354,100000,-2.02,0.11,2.91,25.4,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,33.90073291,8.108137655,100
359,103300,-1.67,0.49,2.95,25.6,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,33.84118133,8.114717131,103.3
364,106700,-1.74,0.15,2.62,24.3,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,33.83207921,8.112276789,106.7
369,110000,-1.09,0.87,2.71,24.6,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,34.08335064,8.109034181,110
374,112000,-2.17,-0.2,2.72,24.7,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,33.9257467,8.090870707,112
379,114000,-2.04,0.23,3.09,26.1,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,33.85305969,8.081188852,114
384,116000,-2.09,0.21,3.13,26.3,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,33.85829043,8.069297458,116
389,118000,-2.36,0.21,3.51,27.5,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,33.79776941,8.065470292,118
394,120000,-2.45,0.1,3.47,27.4,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,33.67163512,8.072828393,120
399,122000,-2.54,0.17,3.73,28.2,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,33.6180387,8.06319954,122
404,128000,-1.61,0.95,3.5,27.5,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,33.4490358,8.065350452,128
409,129100,-1.21,1.02,3.03,25.9,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,33.4732783,8.076390895,129.1
414,130300,-1.07,1.45,3.44,27.3,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,33.57945695,8.097851013,130.3
419,131400,-0.72,1.47,2.98,25.7,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,33.6865113,8.115475751,131.4
423,132300,-1.14,0.96,2.88,25.3,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,33.84526152,8.128965065,132.3
429,133700,-0.66,1.17,2.56,24,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,34.24959222,8.139384077,133.7
434,134900,-0.5,1.39,2.63,24.3,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,34.29865889,8.156216001,134.9
439,136000,-0.2,1.6,2.52,23.8,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,34.28855323,8.162731227,136
444,137400,-0.99,0.89,2.62,24.2,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,34.33021803,8.170504771,137.4
449,138900,-0.91,0.76,2.39,23.2,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,34.38491599,8.173784474,138.9
454,140300,-0.77,1.06,2.56,24,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,34.4796829,8.180625847,140.3
459,141700,-0.88,0.96,2.57,24,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,34.49773373,8.177584714,141.7
464,143100,-0.85,1.2,2.81,25,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,34.48988443,8.177681643,143.1
469,144600,-0.88,0.9,2.5,23.7,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,34.45525077,8.177178372,144.6
474,146000,-1.1,0.73,2.56,24,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,34.44786169,8.17993646,146
479,148000,-0.77,0.82,2.31,22.8,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,34.45593684,8.17746432,148
484,150000,-0.66,0.99,2.38,23.1,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,34.46329822,8.168329708,150
489,152000,-0.46,1.07,2.25,22.5,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,34.49078356,8.169201409,152
494,154500,-0.9,0.91,2.54,23.9,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,34.48992065,8.175236352,154.5
499,157100,-0.54,1.28,2.55,24,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,34.43984619,8.18625736,157.1
504,159600,-0.89,0.96,2.58,24.1,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,34.47801886,8.190944435,159.6
509,162100,-0.69,0.97,2.38,23.2,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,34.4239537,8.176408581,162.1
513,164200,-1.03,0.72,2.48,23.6,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,34.40247465,8.17309512,164.2
519,167200,-1,0.58,2.3,22.8,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,34.26408275,8.186819728,167.2
524,169700,-1.31,0.52,2.56,24,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,34.17072633,8.175896556,169.7
529,172000,-1.31,0.41,2.44,23.5,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,34.10732042,8.174356693,172
534,174000,-1.24,0.56,2.52,23.8,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,34.1724756,8.174467972,174
539,176000,-1.18,0.44,2.34,23,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,34.19216277,8.178157468,176
544,178000,-1.21,0.79,2.75,24.8,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,34.21978661,8.181983587,178
549,180000,-0.97,0.73,2.42,23.4,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,34.33124074,8.159885304,180
554,182000,-1.01,0.83,2.58,24.1,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,34.29194096,8.14801347,182
559,183500,-0.99,0.62,2.33,22.9,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,34.28456892,8.173451016,183.5
564,185000,-1.24,0.67,2.65,24.4,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,34.25850046,8.170118475,185
569,186500,-1.21,0.51,2.44,23.4,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,34.19988637,8.166107847,186.5
574,188000,-1.61,0.26,2.61,24.2,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,34.18751796,8.158580923,188
579,192000,-1.65,0.19,2.57,24,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,34.05226451,8.143122228,192
584,196000,-2.07,0.09,2.94,25.6,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,33.67624797,8.142436856,196
589,197800,-1.82,0.21,2.78,24.9,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,33.6469047,8.128601281,197.8
594,199600,-1.76,0.51,3.09,26.1,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,33.74499116,8.109243174,199.6
599,201400,-1.29,0.72,2.77,24.9,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,33.83110977,8.101849346,201.4
604,203200,-1.54,0.35,2.63,24.3,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,33.91870278,8.111923757,203.2
609,205000,-1.02,0.85,2.6,24.2,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,33.95609777,8.108790197,205
614,208700,-1.48,0.51,2.74,24.8,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,33.88678783,8.127281537,208.7
619,212300,-1.54,0.47,2.77,24.9,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,33.84302008,8.104139989,212.3
624,216000,-2.03,0.19,3.02,25.8,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,33.81319529,8.114452567,216
629,217500,-1.7,0.59,3.12,26.2,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,33.84361027,8.099541684,217.5
634,219000,-1.69,0.65,3.18,26.4,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,33.89813352,8.114365636,219
639,220500,-1.35,0.87,3.03,25.9,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,34.14408473,8.143079221,220.5
644,222000,-1.47,0.58,2.82,25.1,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,34.25078752,8.153370674,222
649,223500,-1.04,0.77,2.53,23.9,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,34.23349732,8.160481142,223.5
654,225000,-0.77,1.02,2.52,23.8,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,34.22959823,8.164664176,225
659,226500,-1.28,0.4,2.4,23.3,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,34.28571947,8.159664218,226.5
664,228000,-0.93,1.12,2.82,25.1,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,34.24040061,8.122392341,228
669,230500,-1.07,0.81,2.62,24.2,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,34.18653786,8.13061503,230.5
674,233000,-0.79,1.14,2.67,24.5,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,34.09963944,8.113124906,233
679,235500,-1.92,0.08,2.75,24.8,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,33.89120892,8.109126605,235.5
684,238000,-2.2,0.1,3.14,26.3,,2.2,-90.9,2348,ruber_w,reductive,,0.9892,1.021955028,,33.77669731,8.112278533,238